scheme_name,returns_5yr,predicted_5yr
SBI Magnum Ultra Short Duration Fund,6.1,6.6035566
Franklin India Floating Rate Fund,6.2,6.596033
Invesco India Credit Risk Fund,3.5,6.5954523
DSP Short Term Fund,6.7,6.5842543
Invesco India Ultra Short Term Fund,6.0,6.5716224
Franklin India Savings Fund,6.1,6.5651875
HDFC Income Fund,6.1,6.554142
Union Liquid Fund,4.6,6.5512695
ICICI Pru Liquid Fund,5.3,6.5221605
HSBC Conservative Hybrid Fund,7.5,6.477478
Tata Short Term Bond Fund,5.8,6.46775
Union Dynamic Bond Fund,6.0,6.4658613
Sundaram Banking & PSU Debt Fund,6.1,6.464335
SBI Magnum Medium Duration Fund,7.9,6.4336424
DSP Regular Savings Fund,6.0,6.388336
IDBI Equity Savings Fund,7.2,6.3848796
UTI-Money Market Fund,6.2,6.3830442
HSBC Short Duration Fund,6.7,6.3782845
DSP Arbitrage Fund,5.4,6.3714304
Edelweiss Arbitrage Fund,5.7,6.3695335
LIC MF Debt Hybrid Fund,6.7,6.3561363
Baroda BNP Paribas Short Duration Fund,6.7,6.3456717
Kotak Bond Fund,7.7,6.341872
Kotak Bond – Short Term Fund,7.2,6.336126
HDFC Overnight Fund,4.6,6.313427
ICICI Pru Bond Fund,7.3,6.2941313
Canara Robeco Income Fund,7.0,6.2745414
Invesco India Short Term Fund,6.8,6.271781
SBI Short Term Debt Fund,6.8,6.2685823
LIC MF Bond Fund,6.2,6.2488613
Nippon India Income Fund,7.9,6.205261
HDFC Liquid Fund,5.3,6.1598043
